i, j, E, error
8, 2, -11.5788, 1.20625e-09
8, 3, -11.5788, 1.20625e-09
8, 4, -11.5788, 1.20625e-09
8, 5, -11.5788, 1.20625e-09
8, 6, -11.5788, 1.20625e-09
8, 7, -11.5788, 1.20625e-09
8, 8, -11.5788, 1.20625e-09
8, 9, -11.5788, 1.20625e-09
8, 10, -11.5788, 1.20625e-09
8, 11, -11.5788, 1.20625e-09
8, 12, -11.5788, 1.20625e-09
8, 13, -11.5788, 1.20625e-09
8, 14, -11.5788, 1.20625e-09
8, 15, -11.5788, 1.20625e-09
8, 16, -11.5788, 1.20625e-09
8, 17, -11.5788, 1.20625e-09
8, 18, -11.5788, 1.20625e-09
8, 19, -11.5788, 1.20625e-09
8, 20, -11.5788, 1.20625e-09
8, 21, -11.5788, 1.20625e-09
8, 22, -11.5788, 1.20625e-09
8, 23, -11.5788, 1.20625e-09
8, 24, -11.5788, 1.20625e-09
8, 25, -11.5788, 1.20625e-09
8, 26, -11.5788, 1.20625e-09
8, 27, -11.5788, 1.20625e-09
8, 28, -11.5788, 1.20625e-09
8, 29, -11.5788, 1.20625e-09
8, 30, -11.5788, 1.20625e-09
8, 31, -11.5788, 1.20625e-09
8, 32, -11.5788, 1.20625e-09
8, 33, -11.5788, 1.20625e-09
8, 34, -11.5788, 1.20625e-09
8, 35, -11.5788, 1.20625e-09
8, 36, -11.5788, 1.20625e-09
8, 37, -11.5788, 1.20625e-09
8, 38, -11.5788, 1.20625e-09
8, 39, -11.5788, 1.20625e-09
8, 40, -11.5788, 1.20625e-09
8, 41, -11.5788, 1.20625e-09
8, 42, -11.5788, 1.20625e-09
8, 43, -11.5788, 1.20625e-09
8, 44, -11.5788, 1.20625e-09
8, 45, -11.5788, 1.20625e-09
8, 46, -11.5788, 1.20625e-09
8, 47, -11.5788, 1.20625e-09
8, 48, -11.5788, 1.20625e-09
8, 49, -11.5788, 1.20625e-09
8, 50, -11.5788, 1.20625e-09
8, 51, -11.5788, 1.20625e-09
8, 52, -11.5788, 1.20625e-09
8, 53, -11.5788, 1.20625e-09
8, 54, -11.5788, 1.20625e-09
8, 55, -11.5788, 1.20625e-09
8, 56, -11.5788, 1.20625e-09
8, 57, -11.5788, 1.20625e-09
8, 58, -11.5788, 1.20625e-09
8, 59, -11.5788, 1.20625e-09
8, 60, -11.5788, 1.20625e-09
8, 61, -11.5788, 1.20625e-09
8, 62, -11.5788, 1.20625e-09
8, 63, -11.5788, 1.20625e-09
9, 0, -11.9062, 1.22792e-09
9, 1, -11.9062, 1.22792e-09
9, 2, -11.9062, 1.22792e-09
9, 3, -11.9062, 1.22792e-09
9, 4, -11.9062, 1.22792e-09
9, 5, -11.9062, 1.22792e-09
9, 6, -11.9062, 1.22792e-09
9, 7, -11.9062, 1.22792e-09
9, 8, -11.9062, 1.22792e-09
9, 9, -11.9062, 1.22792e-09
9, 10, -11.9062, 1.22792e-09
9, 11, -11.9062, 1.22792e-09
9, 12, -11.9062, 1.22792e-09
9, 13, -11.9062, 1.22792e-09
9, 14, -11.9062, 1.22792e-09
9, 15, -11.9062, 1.22792e-09
9, 16, -11.9062, 1.22792e-09
9, 17, -11.9062, 1.22792e-09
9, 18, -11.9062, 1.22792e-09
9, 19, -11.9062, 1.22792e-09
9, 20, -11.9062, 1.22792e-09
9, 21, -11.9062, 1.22792e-09
9, 22, -11.9062, 1.22792e-09
9, 23, -11.9062, 1.22792e-09
9, 24, -11.9062, 1.22792e-09
9, 25, -11.9062, 1.22792e-09
9, 26, -11.9062, 1.22792e-09
9, 27, -11.9062, 1.22792e-09
9, 28, -11.9062, 1.22792e-09
9, 29, -11.9062, 1.22792e-09
9, 30, -11.9062, 1.22792e-09
9, 31, -11.9062, 1.22792e-09
9, 32, -11.9062, 1.22792e-09
9, 33, -11.9062, 1.22792e-09
9, 34, -11.9062, 1.22792e-09
9, 35, -11.9062, 1.22792e-09
9, 36, -11.9062, 1.22792e-09
9, 37, -11.9062, 1.22792e-09
9, 38, -11.9062, 1.22792e-09
9, 39, -11.9062, 1.22792e-09
9, 40, -11.9062, 1.22792e-09
9, 41, -11.9062, 1.22792e-09
9, 42, -11.9062, 1.22792e-09
9, 43, -11.9062, 1.22792e-09
9, 44, -11.9062, 1.22792e-09
9, 45, -11.9062, 1.22792e-09
9, 46, -11.9062, 1.22792e-09
9, 47, -11.9062, 1.22792e-09
9, 48, -11.9062, 1.22792e-09
9, 49, -11.9062, 1.22792e-09
